 variable ,lower,median,upper,distribution
n_years,30,NA,30,const
var_cv,5,NA,10,posnorm
discount_rate,1.86,2.99,4.52,posnorm
arable_area_treeless,10.14,NA,10.14,const
tree_row_area,0.57,NA,0.57,const
num_trees,473,NA,473,const
water_price,0.000005,0.00003,0.00031,posnorm
farmer_planning_time,150,NA,300,posnorm
planning_consulting,800,NA,6000,posnorm
labour_cost,12.41,17.3,19.85,posnorm
pruning_course,2180,NA,2680,posnorm
gps_field_measuring,1.15,NA,7,posnorm
dig_planting_holes,0.09,NA,0.13,posnorm
planting_trees,0.5,NA,1.5,posnorm
appletree_price,10,NA,20,posnorm
vole_protection,9.05,NA,11.75,posnorm
deer_protection,1.18,NA,4,posnorm
weed_protection,1.15,NA,1.6,posnorm
irrigation_sys_install,3500,NA,5000,posnorm
irrigation_after_planting,5,NA,50,posnorm
chance_irrigation_repair,0.05,NA,0.15,posnorm
irrigation_repair_cost,0.05,NA,0.3,posnorm
irrigation_123,230,NA,345,posnorm
irrigation_annual,1,NA,413.61,posnorm
compost_after_planting,10,NA,20,posnorm
compost_price,0.19,NA,0.19,const
pruning_juv1,0.15,NA,0.2,posnorm
pruning_juv2,0.35,NA,0.45,posnorm
pruning_adult1,0.5,NA,0.7,posnorm
pruning_adult2,0.4,NA,0.65,posnorm
root_pruning,1,NA,2,posnorm
mowing_treerow,56,NA,87,posnorm
codling_moth_protect,200,NA,300,posnorm
maize_yield,5.42,10.37,13.69,posnorm
wheat_yield,5.99,8.155,9.7,posnorm
barley_yield,4.48,6.825,9,posnorm
rapeseed_yield,2.9,3.76,5,posnorm
maize_seed_price,176.76,NA,293.12,posnorm
maize_value,131,175.4,305.6,posnorm
maize_fert_price,153.5,203.7,240.01,posnorm
maize_cides_price,63.2,70,102,posnorm
maize_mach_price,285.75,506.19,607.02,posnorm
maize_labour,7.43,9.29,12.67,posnorm
maize_insurance,6,6.55,9.13,posnorm
wheat_seed_price,39.2,100.66,229.32,posnorm
wheat_value,126,175.65,310,posnorm
barley_value,114,157.3,279.1,posnorm
rapeseed_value,192.4,362.1,712.1,posnorm
wheat_fert_price,221.6,271.84,284,posnorm
wheat_cides_price,98.53,133.34,214.78,posnorm
wheat_mach_price,261.3,350.03,369.69,posnorm
wheat_labour,3.45,4.6,6.75,posnorm
wheat_insurance,7.7,8.1,11.78,posnorm
rapeseed_seed_price,69.9,102.23,148.7,posnorm
rapeseed_fert_price,228.5,266.365,272.46,posnorm
rapeseed_cides_price,178.38,197.045,259.87,posnorm
rapeseed_mach_price,266,331.17,438,posnorm
rapeseed_labour,4.8,6.055,8.25,posnorm
rapeseed_insurance,16.38,17.55,34.36,posnorm
barley_seed_price,56.1,81.515,210.49,posnorm
barley_fert_price,172.65,201.31,219.9,posnorm
barley_cides_price,94.61,122.68,163.92,posnorm
barley_mach_price,257.35,345.89,362.07,posnorm
barley_labour,3.1,4.36,6.13,posnorm
barley_insurance,7.07,7.765,9.33,posnorm
table_apple_price,2,NA,5,posnorm
bqual_apple_price,1,NA,2,posnorm
juice_apple_price,0.09,NA,0.16,posnorm
time_to_first_apple1,4,NA,4,const
time_to_first_apple2,5,NA,5,const
time_to_second_apple1,7,NA,7,const
time_to_second_apple2,8,NA,8,const
apple_yield_first,5,NA,10,posnorm
apple_yield_second,40,NA,50,posnorm
apple_yield_max,10,NA,70,posnorm
apple_harvest,0.2,NA,1.2,posnorm
apple_postharvest_loss,0.04,NA, 0.11,posnorm
perc_table_apple,50,NA,80,posnorm
perc_bqual_apple,20,NA,50,posnorm
es3_subsidy,600,NA,600,const
es3_application,5,NA,12,posnorm
leader_funding,13000,NA,13000,const
leader_application,5,NA,12,posnorm
gaec8,1,NA,1,const
alley_crop,1,NA,1,const
arable,1,NA,1,const
treerow_SRC,0,NA,0,const
treerow_shrubs,0,NA,0,const
treerow_timber_food,1,NA,1,const
annual_sub_application,2,NA,5,posnorm
by_invest_shrubs,4138,NA,4138,const
by_invest_timb_food,5271,NA,5271,const
by_invest_max,50000,NA,50000,const
by_invest_maxpc,65,NA,65,const
by_sub_application,2,NA,5,posnorm
mv_invest_src,1566,NA,1566,const
mv_invest_shrubs,4138,NA,4138,const
mv_invest_timb_food,5271,NA,5271,const
mv_invest_max,300000,NA,300000,const
mv_invest_maxpc,65,NA,65,const
mv_sub_application,2,NA,5,posnorm
bw_invest_max,1500,NA,1500,const
bw_invest_maxpc,80,NA,80,const
bw_sub_application,2,NA,5,posnorm
bb_invest_max,1530,NA,1530,const
bb_sub_application,2,NA,5,posnorm
max_funding_th,6000,NA,6000,const
th_invest_max,2000,NA,2000,const
th_invest_maxpc,100,NA,100,const
th_sub_application,2,NA,5,posnorm
sn_sub_application,2,NA,5,posnorm
sn_invest_max,5000000,NA,5000000,const
sn_invest_min,20000,Na,20000,const
extra_arable_time,5,NA,30,posnorm
cv_wheat_yield,9.6,NA,9.6,const
cv_wheat_value,24.6,NA,24.6,const
cv_wheat_seed_price,44.72,NA,44.72,const
cv_wheat_fert_price,7.23,NA,7.23,const
cv_wheat_cides_price,23.15,NA,23.15,const
cv_wheat_mach_price,11,NA,11,const
cv_wheat_labour,23.1,NA,23.1,const
cv_wheat_insurance,15.14,NA,15.14,const
cv_maize_yield,14.5,NA,14.5,const
cv_maize_value,25.4,NA,25.4,const
cv_maize_seed_price,12,NA,12,const
cv_maize_fert_price,17.6,NA,17.6,const
cv_maize_cides_price,20.06,NA,20.06,const
cv_maize_mach_price,23.82,NA,23.82,const
cv_maize_labour,19.84,NA,19.84,const
cv_maize_insurance,17.61,NA,17.61,const
cv_barley_yield,12.7,NA,12.7,const
cv_barley_value,27.2,NA,27.2,const
cv_barley_seed_price,45.98,NA,45.98,const
cv_barley_fert_price,8.66,NA,8.66,const
cv_barley_cides_price,17.73,NA,17.73,const
cv_barley_mach_price,12.02,NA,12.02,const
cv_barley_labour,23,NA,23,const
cv_barley_insurance,8.66,NA,8.66,const
cv_rapeseed_yield,14.4,NA,14.4,const
cv_rapeseed_value,30.5,NA,30.5,const
cv_rapeseed_seed_price,24.7,NA,24.7,const
cv_rapeseed_fert_price,31.41,NA,31.41,const
cv_rapeseed_cides_price,13,NA,13,const
cv_rapeseed_mach_price,13.78,NA,13.78,const
cv_rapeseed_labour,16,NA,16,const
cv_rapeseed_insurance,31.41,NA,31.41,const
chance_extreme_weather,0.05,,0.33,posnorm
value_if_extreme_weather,0.8,,0.9,posnorm
trees_yield_buffering_effect_trend,0.003,,0.006,posnorm
yield_reduc_max,0.7,,0.9,posnorm
time_to_first_reduction,1,,1,const
time_to_second_reduction,6,,6,const
perc_max_first_reduction,1,,1.5,posnorm
perc_max_second_reduction,4,,6,posnorm